anniversary,the date on which sth happened the pervious year or in the past,/ˌænɪˈvɜːsəri/
best man,a male friend or relative chosen by a bridegroom to assist him at his wedding,/ˌbest ˈmæn/
bride,a woman who is about to get ​married or has just got ​married,/braɪd/
bridesmaid,a ​girl or woman who during the ​marriage ​ceremony ​helps the woman who is getting ​married,/ˈbraɪdzmeɪd/
burial,ceremony of putting a dead body in the ground,/ˈberiəl/
celebrate sth,"have a special meal, party, etc. to show you are happy about sth",/ˈselɪbreɪt/
cemetery,a place where dead people are buried,/ˈsemətri/
ceremony,a formal public event,/ˈserəməni/
choice,an option you have chosen to,/tʃɔɪs/
choose sth,decide which thing you want,/tʃuːz/
civil ceremony,a non-religious ceremony,/ˌsɪvl ˈserəməni/
coffin,a ​long ​box in which the ​body of a ​dead ​person is ​buried or ​burned,/ˈkɒfɪn/
couple,two people who are married or in a romantic relationship,/ˈkʌpl/
cremate sb,burn the body of a dead person as part of a funeral,/krəˈmeɪt/
die,stop living,/daɪ/
drink a toast to sb,"raise a glass of wine, etc. to whish sb success or happiness",/ˌdrɪŋk ə ˈtəʊst/
funeral,a ceremody after sb dies,/ˈfjuːnərəl/
grave,a ​place in the ​ground where a ​dead ​person is ​buried,/greɪv/
gravestone,"a stone that shows where a dead person is buried, usually with the name and the years of living",/ˈgreɪvstəʊn/
groom,a man who is about to get ​married or has just got ​married,/gruːm/
guest,"​person you have ​invited to a ​social ​occasion, such as a ​party or a ​meal",/gest/
honeymoon,a holiday for a couple who have just got married,/ˈhʌnimuːn/
husband,the man that you are ​married to,/ˈhʌzbənd/
inherit,receive money or things from sb when they die,/ɪnˈherɪt/
inheritance,money or ​objects that someone gives you when they ​die,/ɪnˈherɪtəns/
make a speech,give a formal talk to a lot of people at a special event,/ˌmeɪk ə ˈspiːtʃ/
marriage,"a ​legally ​accepted ​relationship between two ​people in which they ​live together, or the ​official ​ceremony that ​results in this",/ˈmærɪdʒ/
mourners,people who sad because of sb's death,/ˈmɔːnəz/
mourning,great ​sadness ​felt because someone has ​died,/ˈmɔːnɪŋ/
reception,a ​formal ​party at which ​important ​people are ​welcomed,/rɪˈsepʃn/
religious,related to religion,/rɪˈlɪdʒəs/
religious ceremony,ceremony in church,/rɪˌlɪdʒəs ˈserəməni/
speech,a forgmal talk given usually to a large amount of people on a special occasion,/spiːtʃ/
toast,an expression of good wishes or respect,/təʊst/
traditional,sth that people have done for a long time,/trəˈdɪʃənl/
wedding reception,a meal and/or party after a wedding,/ˈwedɪŋ rɪˌsepʃn/
widow,a woman whose husband has died,/ˈwɪdəʊ/
widower,a man whose wife has died,/ˈwɪdəʊə ͬ/
wife,the woman that you are ​married to,/waɪf/
will,a document that says who will have your money or things when you die,/wɪl/
wish sb sth,say that you hope good things will happen to sb,/wɪʃ/
bury,put a dead body in the ground,/ˈberi/
cremation,the process of burning of a dead person's body,/krəˈmeɪʃn/
