assassinate sb,"to kill a famous person, often for political reasons",/əˈsæsɪneɪt/
attempt,the act of trying to do something difficult,/əˈtempt/
defeat sb,"win a battle, vote, game, etc against sb",/dɪˈfiːt/
discover sth,find sth that nobody has found before,/dɪˈskʌvə ͬ/
establish sth,start or create an organization or system,/ɪˈstæblɪʃ/
gain,obtain something,/geɪn/
independence,freedom from control by another country,/ˌɪndɪˈpendəns/
invade,enter a country with an army to attack and take control of it,/ɪnˈveɪd/
president,the leader of a country with no king or queen,/ˈprezɪdənt/
prince,the son or grandson of a king or queen,/prɪns/
princess,the daughter or granddaughter of a king or queen,/ˌprɪnˈses/
release sb,allow sb to be free,/rɪˈliːs/
republic,a country with no king or queen,/rɪˈpʌblɪk/
revolution,"action taken by a large group of people to change the government, ofter using violence",/ˌrevəˈluːʃn/
assassination,murder of a famous person,/əˌsæsɪˈneɪʃn/
discovery,something new was found for the first time,/dɪˈskʌvəri/
establishment,something created or started,/ɪˈstæblɪʃmənt/
independent,be free from control of another country,/ˌɪndɪˈpendənt/
invasion,act of entering a country with an army to attack and take control of it,/ɪnˈveɪʒn/
