athlete,a person who is very good at sports or physical exercise,/ˈæθliːt/
athletics,"the general name for a particular group of sports in which people compete, including running, jumping, and throwing",/æθˈletɪks/
boxer,someone who takes part in the sport of boxing,/ˈbɒksə ͬ/
capacity,the amount or number that a space or container will hold,/kəˈpæsəti/
captain,the player who is leader of the team,/ˈkæptɪn/
championship,a competition to find the best player or team in a sport,/ˈtʃæmpiənʃɪp/
circuit,"an area of land, often in a circle, where a race takes place SYN track",/ˈsɜːkɪt/
club,"an organization of people with a common purpose or interest, who meet regularly and take part in shared activities",/klʌb/
coach,a person who gives practical teaching to make sb better in a sport,/kəʊtʃ/
commentator,a person who describes a game on TV or the radio,/ˈkɒmənteɪtə ͬ/
construct sth,build or make sth,/kənˈstrʌkt/
court,"a place where tennis, baketball, or bandminton are played",/kɔːt/
crowd,large amount of people,/kraʊd/
deep,distance from the top to bottom,/diːp/
fan,sb who regulary watch and support some team SYN supporter,/fæn/
footballer,football player,/ˈfʊtbɔːlə ͬ/
golfer,sb who plays golf,/ˈgɒlfə ͬ/
ground,an area of land where a game is played and people watched,/graʊnd/
gymnast,sb who is skilled in gymnastics,/ˈdʒɪmnæst/
gymnastics,"physical exercises and activities performed inside, often using equipment such as bars and ropes",/dʒɪmˈnæstɪks/
interrupt sth,stop the progress of sth for a short period of time,/ˌɪntəˈrʌpt/
lap,one journey around a track,/læp/
length,the measurement of something from end to end or along its longest side,/leŋθ/
linesman,a person who helps the referee in some sports SYN referee's assistant,/ˈlaɪnzmən/
manager,the person in control of a football team,/ˈmænɪdʒə ͬ/
maximum,largest possible or largest allowed,/ˈmæksɪməm/
minimum,smallest possible or smallest allowed,/ˈmɪnɪməm/
pitch,"an area painted with lines for playing particular sports, especially football",/pɪtʃ/
pool,place to do swimming,/puːl/
racing driver,sb to drives a races,/ˈreɪsɪŋ ˌdraɪvə ͬ/
referee,the official person in control in some sports SYN ref,/ˌrefəˈriː/
referee's assistant,a person who helps the referee in some sports SYN linesman,/ˌrefəˌriːz əˈsɪstənt/
rugby player,sb who plays rugby,/ˈrʌgbi ˌpleɪə ͬ/
skier,sb who skies,/ˈskiːə ͬ/
spectators,people who whatch a game,/spekˈteɪtəz/
stadium,a large structure where people sit and watch sport,/ˈsteɪdiəm/
standard,normal; average,/ˈstændəd/
supporters,people who regulary watch teamplay SYN fan,/səˈpɔːtəz/
swimmer,sb who does swimming,/ˈswɪmə ͬ/
swimming pool,place to swim,/ˈswɪmɪŋ ˌpuːl/
tennis player,sb who plays tennis,/ˈtenɪs ˌpleɪə ͬ/
track,"an area of land, often in a circle, where a race takes place SYN circuit",/træk/
umpire,a person in control of tennis match,/ˈʌmpaɪə ͬ/
width,the measurement of sth from side to side,/wɪdθ/
worldwide,existing or happening in all parts of the world,/ˈwɜːldwaɪd/
construction,process of building or making sth,/kənˈstrʌkʃn/
depth,the distance down,/depθ/
ref,informal name of the person in contol in some sports,/ref/
