alphabet,a set of letters arranged in a fixed order using a writing a language,/ˈælfəbet/
attract attention,when sth interests you so that you want to look at it,/əˌtrækt ... əˈtenʃn/
author,the writer of a particular book or play or sth,/ˈɔːθə ͬ/
autobiography,the story of sb's life written by that person,/ˌɔːtəbaɪˈɒgrəfi/
biography,the story of sb's life written by someone different,/baɪˈɒgrəfi/
browse,spend time pleasantly in a shop looking at things,/braʊz/
catalogue,a complete list of things you can buy or see somewhere,/ˈkætəlɒg/
chapter,one of the parts into which a book is divided,/ˈtʃæptə ͬ/
cover,"the outside part of a book, magazine, etc",/ˈkʌvə ͬ/
encyclopedia,a book or set of books that gives information about many different subjects arranged in alphabetical order,/ɪnˌsaɪkləˈpiːdiə/
fascinating,very interesting,/ˈfæsɪneɪtɪŋ/
fiction,"books about imaginary facts, people or events",/ˈfɪkʃn/
gift,"a thing that you give to sb, e.g. for their birthday SYN present",/gɪft/
hardback,a book with hard cover,/ˈhɑːdbæk/
look through,read sth quickly SYN skim sth,/ˈlʊk ˌθruː/
manual,a book that tells you how to do or use sth such as a car or a computer,/ˈmænjuəl/
mystery,a story in which the events are only explained at the end,/ˈmɪstri/
non-fiction,"books about real facts, people, events, etc",/ˌnɒn ˈfɪkʃn/
novel,a book that tells a story about people or events that are not real,/ˈnɒvl/
paperback,a book with a thick paper cover,/ˈpeɪpəbæk/
pleasure,a feeling of enjoyment,/ˈpleʒə ͬ/
poem,piece of writing arronged in short lines which express thoughts and feelings through sound and rhythm,/ˈpəʊɪm/
poetry,poems in general,/ˈpəʊətri/
present,"a thing that you give to sb, e.g. for their birthday SYN gift",/ˈpreznt/
readable,easy or interesting to read,/ˈriːdəbl/
reference book,a book you use to find a piece of intformation,/ˈrefrəns ˌbʊk/
sci-fi,abbreviation of science fiction,/ˈsaɪ ˌfaɪ/
science fiction,"books about events that take place in the future, often involving travel in space",/ˌsaɪəns ˈfɪkʃn/
skim sth,read sth quickly SYN look through,/skɪm/
title,"the name of a book, play, film, etc",/ˈtaɪtl/
well informed,knowing a lot about a subject,/ˌwel ɪnˈfɔːmd/
well known,famous,/ˌwel ˈnəʊn/
well written,book with content of high quality,/ˌwel ˈrɪtn/
alphabetical,listed in the samp way as the asphabet,/ˌælfəˈbetɪkl/
