admiration,the feeling of liking sb and thinking they have achieved a lot,/ˌædməˈreɪʃn/
album,a collection of songs,/ˈælbəm/
alive,being live,/əˈlaɪv/
appeal to sb,be attractive or interesting to sb,/əˈpiːl/
band,a number of people who play music together (SYN group),/bænd/
cellist,musician who plays cello,/ˈtʃelɪst/
composer,a person who writes music,/kəmˈpəʊzə ͬ/
conductor,the person in an orchestra who directs the musicians,/kənˈdʌktə ͬ/
drummer,sb who plays drums,/ˈdrʌmə ͬ/
flautist,sb who plays flute,/ˈflɔːtɪst/
group,a number of people who play music together (SYN band),/gruːp/
guitarist,sb who plays guitar,/gɪˈtɑːrɪst/
influence,"to affect or change how someone or something develops, behaves, or thinks",/ˈɪnfluəns/
keyboard player,sb who plays keyboard,/ˈkiːbɔːd ˌpleɪə ͬ/
lead singer,the main singer in a band,/ˌliːd ˈsɪŋə ͬ/
live,seen or heard as it is happening,/laɪv/
living,not dead,/ˈlɪvɪŋ/
lyrics,the word of a song,/ˈlɪrɪks/
melody,a series of musical notes in a particular order,/ˈmelədi/
musical instrument,a thingthat is used for playing music,/ˌmjuːzɪkl ˈinstrəmənt/
musician,a person who plays a musical instrument,/mjuːˈzɪʃn/
orchestra,a large group of musicians who play music together,/ˈɔːkestrə/
organist,sb who plays organ,/ˈɔːgənɪst/
pianist,sb who plays piano,/ˈpɪənɪst/
record sth,"put music, a film, etc onto a CD or tape",/rɪˈkɔːd/
recording,a process of putting music or sth similar in a digital form or a tape,/rɪˈkɔːdɪŋ/
release sth,put an album onto the market so people can buy it,/rɪˈliːs/
saxophonist,sb who plays saxophone,/sækˈsɒfənɪst/
solo artist,a singer or musician who is not part of a band,/ˈsəʊləʊ ˌɑːtɪst/
songwriter,a person who writes the words and music for a song,/ˈsɒŋraɪtə ͬ/
talent,a natural ability to be good at something,/ˈtælənt/
trumpeter,sb who plays trumpet,/ˈtrʌmpɪtə ͬ/
tune,adjust sound of an instrument,/tjuːn/
violinist,sb who plays violin,/vaɪəˈlɪnɪst/
voice,the sounds that are made when people speak or sing,/vɔɪs/
admire,like sb and think they have achieved a lot,/ədˈmaɪə ͬ/
talented,having a lot of ability,/ˈtæləntɪd/
