avoid doing sth,try not to do or experience sth,/əˈvɔɪd/
build sth,make sth bigger; increase sth,/bɪld/
choose sth,decide what you want from two or more things or possibilities (SYN select sth),/tʃuːz/
collocation,the combination of words formed when two or more words are often used together,/ˌkɒləˈkeɪʃn/
define sth,make an exact statement of what a word or phrase means,/dɪˈfaɪn/
emphasis on sth,say sth with extra loudness (SYN stress on sth),/ˈemfəsɪs/
emphasize,pronounce sth with extra loudness,/ˈemfəsaɪz/
entry,"one of a list of items included in a dictionary, list, etc",/ˈentri/
expression,a word or group of words used in a particular situation or a particular people,/ɪkˈspreʃn/
for example,used when giving an example of the type of thing you mean (SYN for instance),/fər ɪgˈzɑːmpl/
idiom,a group of words whose meanings is different from the meanings of the individual words,/ˈɪdiəm/
offend sb,to make sb upset or angry,/əˈfend/
offensive,rude and likely to upset sb,/əˈfensɪv/
provide sth,give sth to sb or make sth available for sb,/prəˈvaɪd/
realize,"to understand the situation, sometimes suddenly",/ˈriːəlaɪz/
relate sth to sth,connect sth to sth,/rɪˈleɪt/
select sth,decide what you want from two or more things (SYN choose sth),/sɪˈlekt/
selection,what you decided,/sɪˈlekʃn/
slang,very informal words or phrases used in spoken language,/slæŋ/
stress,say sth with extra loudness (SYN emphasis),/stres/
style,the way sth is written or spoken,/staɪl/
syllable,a part of a word which contains a vowel sound,/ˈsɪləbl/
definition,an exact statement of what a word or phrase means,/ˌdefɪˈnɪʃn/
for instance,SYN for example,/fər ˈɪnstəns/
related,when sth connected with sth,/rɪˈleɪtɪd/
