abstract,"type of painting, drawing, or sculpture that uses shapes, lines, and colour in a way that does not try to represent the appearance of people or things",/ˈæbstrækt/
album,"a book with plain pages, used for collecting together and protecting stamps, photographs, etc",/ˈælbəm/
automatic,able to work by itself without direct human control,/ˌɔːtəˈmætɪk/
built-in flash,device used to produce short flash of light,/ˌbɪlt ˌɪn ˈflæʃ/
create sth,"cause sth new to happen; produce sth new",/kriˈeɪt/
develop a film,make pictures from a piece of film using chemicals,/dɪˈveləp/
digital camera,"a type of camera that records images that can be looked at on a computer",/ˌdɪdʒɪtl ˈkæmərə/
on display,being shown in a place where people will see it (SYN on show),/dɪˈspleɪ/
drawing,"the act of making a picture with a pencil or pen, or a picture made in this way",/ˈdrɔːɪŋ/
exhibition,"a collection of paintings objects, etc, that are shown in public",/ˌeksɪˈbɪʃn/
expert,having the ability and experience to do sth well (SYN skilled),/ˈekspɜːt/
film,dark plastic-like material that can record images as photographs or as a moving picture,/fɪlm/
focus on sth,change the camera until the image is clear,/ˈfəʊkəs/
frame,a flat object with a clear front surface used to put a photograph in,/freɪm/
in focus,showing things clearly,/ˌɪn ˈfəʊkəs/
landscape,"a view or picture of the countryside, or the art of making such pictures",/ˈlændskeɪp/
lens,"a curved piece of glass, plastic, or other transparent material, used in cameras, glasses, and scientific equipment, that makes objects seem closer, larger, smaller, etc.",/lenz/
masterpiece,a great work of art,/ˈmɑːstəpiːs/
negative,developed films which shows inverse of image's colors,/ˈnegətɪv/
on show,being shown in a place where people will see it (SYN on display),/ˌɒn ˈʃəʊ/
out of focus,not showing things clearly,/ˌaʊt əv ˈfəʊkəs/
photo,a picture produced using a camera (SYN photograph),/ˈfəʊtəʊ/
photo album,a book with clear pages holding photographs,/ˈfəʊtəʊ ˌælbəm/
photograph,a picture produced using a camera (SYN photo),/ˈfəʊtəgrɑːf/
photographer,"a person who takes photographs, either as a job or hobby",/fəˈtɒgrəfə ͬ/
portrait,a picture of person,/ˈpɔːtreɪt/
print,a photographic copy of a picture,/prɪnt/
realistic,showing things as they are,/ˌriːəˈlɪstɪk/
roll of film,photo film in a tube,/ˌrəʊl əv ˈfɪlm/
skilled,having the ability and experience to do sth well (SYN expert),/skɪld/
sort,a type or kind,/sɔːt/
still life,"a type of painting or drawing of an arrangement of objects that do not move, such as flowers, fruit, bowls, etc.",/ˌstɪl ˈlaɪf/
studio,a place where artist works,/ˈstjuːdiəʊ/
style,"the way that sth is painted, drawn, built, etc",/staɪl/
take pictures,make a photo using camera,/ˌteɪk ˈpɪktʃəz/
technique,"a particular way of duing sth, often needing special skills",/tekˈniːk/
variety,a number of different types of the same thing,/vəˈraɪəti/
vary,make sth different in types or styles,/ˈveəri/
watercolour,type of paint on water basis,/ˈwɔːtəkʌlə ͬ/
work of art,"a very good painting, drawing, book, etc",/ˌwɜːk əv ˈɑːt/
zoom lens,change focus of the camera,/ˈzuːm ˌlenz/
realism,kind of art showing things as they are,/ˈriːəlɪzəm/
