collapse,sudden falling movement of buildings or people,/kəˈlæps/
considerable,very large in size and amount,/kənˈsɪdərəbl/
crops,"plants that a grown for food, e.g. rice and potatoes",/krɒps/
crucial,very important,/ˈkruːʃl/
damage,harm or injury caused when sth is broken,/ˈdæmɪdʒ/
death toll,"the number of people killed in a disaster, accident, etc",/ˈdeθ ˌtɒl/
destroy sth,break sth completely so it can't be used again,/dɪˈstrɔɪ/
disaster,a very bad event causing hard or death,/dɪˈzɑːstə ͬ/
drought,a long period without rain,/draʊt/
earthquake,sudden violent movement of the ground causing damage,/ˈɜːθkweɪk/
erupt,"explode and throw out fire, burning rocks, etc",/ɪˈrʌpt/
evacuate sb,move sb away from a dangerous place,/ɪˈvækjueɪt/
fear,a feeling that sth bad might happen,/fɪə ͬ/
ground,the top part of the earth's surface that people walk on,/graʊnd/
hit sth,make sudden violent contact with sth (SYN strike sth),/hɪt/
hurricane,violent storm with very storng winds,/ˈhʌrɪkən/
lava,hot liquid rock,/ˈlɑːvə/
maintain sth,make sth continue at a certain level,/ˈmeɪnteɪn/
rescue sb,take sb from a dangerous place to safety (SYN save sb),/ˈreskjuː/
starve to death,suffer or die because you dont' have enough food,/ˌstɑːv tə ˈdeθ/
strike sth,sudden violent contact with sth (SYN hit sth),/straɪk/
sudden,happening very quickly,/ˈsʌdn/
supply,an amount of sth that you need,/səˈplaɪ/
surrounding,that is near or around sth,/səˈraʊndɪŋ/
tidal wave,a very large ocean wav that is caused by a storm or earthquake,/ˈtaɪdl ˌweɪv/
trap sb,when sb is inside sth and cannot get out,/træp/
typhoon,another name of the hurricane -- strong violent storm,/taɪˈfuːn/
violence,extreme force; very strong,/ˈvaɪələns/
violent,very strong and usually causing damage,/ˈvaɪələnt/
volcanic eruption,"explode of volcano with lava, earthquake, etc",/vɒlˈkænɪk/
volcano,a ​mountain with a ​large, ​circular ​hole at the ​top through which lava are or have been forced out,/vɒlˈkeɪnəʊ/
destruction,the act of breaking something,/dɪˈstrʌkʃn/
evacuation,process of moving people away from dangerous place,/ɪˌvækjuˈeɪʃn/
save sb,take sb from a dangerous place to safety (SYN rescue sb),/seɪv/
