aggression,spoken or ​physical ​behaviour that is ​threatening or ​involves ​harm to someone or something,/əˈgreʃn/
aggressive,likely to fight or argue,/əˈgresɪv/
ambition,a ​strong ​wish to ​achieve something,/æmˈbɪʃn/
ambitious,having a strong desire to do well or be successful,/æmˈbɪʃəs/
arrogance,"unpleasantly ​proud and ​behaving as if you are more ​important than, or ​know more than, other ​people",/ˈærəgəns/
arrogant,thinking you are better than other people,/ˈærəgənt/
cheerful,feeling happy,/ˈtʃɪəfl/
crazy,"not sensible or practical; a bit stupid (SYN mad)",/ˈkreɪzi/
dishonest,not always telling the truth,/dɪsˈɒnɪst/
dull,boring,/dʌl/
easy going,relaxed and not worried by what other people do,/ˌiːzi ˈgəʊɪŋ/
energetic,having or involving a lot of energy,/enəˈdʒetɪk/
energy,the ability to be very active without getting tired,/ˈenədʒi/
generosity,"the ​quality or ​condition of being ​generous",/ˌdʒenəˈrɒsəti/
generous,happy to give more money and help than is usual,/ˈdʒenərəs/
hard-working,able to work with effort and for a long time,/ˌhɑːd ˈwɜːkɪŋ/
honest,always telling the truth,/ˈɒnɪst/
honesty,"the quality of being honest",/ˈɒnəsti/
impatient,"not able to stay calm and wait for sth/sb",/ɪmˈpeɪʃnt/
insecure,not feeling sure about your own ability,/ɪnsɪˈkjʊə ͬ/
intolerant,not able to accept ideas you don't agree with,/ɪnˈtɒlərənt/
irresponsible,nat able to act sensibly and intelligently,/ˌɪrɪˈspɒnsəbl/
lazy,not able to work with effort and for a long time,/ˈleɪzi/
mad,"not sensible or practical; a bit stupid (SYN crazy)",/mæd/
mean,"not ​willing to give or ​share things, ​especially ​money",/miːn/
modest,"not usually ​talking about or making ​obvious ​your own ​abilities and ​achievements",/ˈmɒdɪst/
patience,"the ​ability to ​wait, or to ​continue doing something ​despite difficulties, or to ​suffer without ​complaining or ​becoming ​annoyed",/ˈpeɪʃns/
patient,able to stay calm and wait for sth/sb,/ˈpeɪʃnt/
responsible,able to act sensibly and intelligently,/rɪˈspɒnsəbl/
see sb as sth,imagine or think of sb in a particular way,/siː/
self-confident,feeling sure about your own ability,/ˌself ˈkɒnfɪdənt/
sense of humour,the ability to laugh at things and see when sth is funny,/ˌsens əv ˈhjuːmə ͬ/
stupid,"silly or ​unwise; ​showing ​poor ​judgment or little ​intelligence",/ˈstjuːpɪd/
tolerance,"willingness to ​accept ​behaviour and ​beliefs that are different from ​your own, ​although you might not ​agree with or ​approve of them",/ˈtɒlərəns/
tolerant,able to accept ideas you don't agree with,/ˈtɒlərənt/
unambitious,not having a strong desire to do well or be successful,/ˌʌnæmˈbɪʃəs/
