academic,"relating to schools, colleges, and universities, or connected with studying and thinking, not with practical skills",/ˌækəˈdemɪk/
at home,where your home is,/ət ˈhəʊm/
attend,"to go to the event, place, etc",/əˈtend/
away from home,in a different place from your home,/əˌweɪ frəm ˈhəʊm/
chance,the possibility to do sth that you want to do SYN opportunity,/tʃɑːns/
continuous assessment,,/kənˌtɪnjuəs əˈsesmənt/
debate,"serious discussion of a subject in which many people take part",/dɪˈbeɪt/
do research,"a detailed study of a subject, especially in order to discover (new) information or reach a (new) understanding","/ˌduː rɪˈsɜːtʃ, ˈriːsɜːtʃ/"
fees,"money you pay for the professional advice or service of a doctor, lawyer, etc",/fiːz/
flexible,able to change easily,/ˈfleksəbl/
freedom,the right or ability to say or do what you want,/ˈfriːdəm/
graduate,"a person who has a first degree from a university or college",/ˈgrædʒjuət/
graduate,"to complete a first university degree successfully",/ˈgrædʒjueɪt/
hall of residence,a building where students live,/ˌhɔːl əv ˈrezɪdəns/
have a debate,participate in a serious discussion,/ˌhæv ə dɪˈbeɪt/
homesick,sad because you are away from home and you miss it,/ˈhəʊmsɪk/
in time,when you arrive before or at the correct time,/ˌɪn ˈtaɪm/
lecture,"a formal talk on a serious subject given to a group of people",/ˈlektʃə ͬ/
lecturer,sb who gives a lecture,/ˈlektʃərə ͬ/
loan,"money you borrow somewhere, usually from the bank",/ləʊn/
manage sth,be in control of sth,/ˈmænɪdʒ/
on time,when you arrive exactly the correct time,/ˌɒn ˈtaɪm/
opportunity,the possibility to do sth that you want to do SYN chance,/ˌɒpəˈtjuːnəti/
professor,"a teacher of the highest rank",/prəˈfesə ͬ/
read widely,to read a lot of a different publications,/ˌriːd ˈwaɪdli/
residence,a home,/ˈrezɪdəns/
revision,the process of studying sth again to prepare for an examp,/rɪˈvɪʒn/
scholarship,money that an organization gives sb to help them study,/ˈskɒləʃɪp/
seminar,an occasion when a teacher or expert and a group of people meet to study and discuss something,/ˈsemɪnɑː ͬ/
take notes,write sth during the lecture,/ˌteɪk nəʊts/
thesis,"a long piece of writing on a particular subject, especially one that is done for a higher college or university degree",/ˈθiːsɪs/
tuition fees,are the money that you pay to be taught,/tjuˈɪʃn ˌfiːz/
tutor,"a teacher who teaches a child outside of school, especially in order to give the child extra help with a subject they find difficult",/ˈtjuːtə ͬ/
undergraduate,a student who is studying for their first degree at a college or university,/ˌʌndəˈgrædjuət/
write a thesis,during creation of final writing for graduation,/ˌraɪt ə ˈθiːsɪs/
flexibility,the property to be changed easily,/ˌfleksəˈbɪləti/
revise,to study sth again,/rɪˈvaɪz/
