achieve sth,get something done successfully through hard work or skill,/əˈtʃiːv/
amateur,a person who plays a sport for hobby,/ˈæmətə ͬ/
amateur photographer,sb who does photograpy as a hobby and not do it as his job,/ˌæmətə fəˈtɒgrəfə ͬ/
beat sb,be stronger and better than sb in a game SYN defeat sb,/biːt/
break a record,to set a new record,/ˌbreɪk ə ˈrekɔːd/
brilliant,"very good, clever, or skilfull SYN outstanding",/ˈbrɪliənt/
compete,when two or more people are trying to win,/kəmˈpiːt/
competitive,wanting very much to win or be more successful than other people,/kəmˈpetətɪv/
contest,an activity between two players or teams to see who is best,/ˈkɒntest/
critical of sth,saying what is wrong with sth,/ˈkrɪtɪkl/
cycling,bicycle competition,/ˈsaɪklɪŋ/
defeat sb,be stronger and better than sb in a game SYN beat sb,/dɪˈfiːt/
favourite,the person or team who is expected to win,/ˈfeɪvərɪt/
fencing,a sport in which two competitors fight using 'Rapier-style' swords,/ˈfensɪŋ/
competition,a situation when two or more people are trying to win,/ˌkɒmpəˈtɪʃn/
final,the last game or match in a comptition,/ˈfaɪnl/
criticize sth,to say what is wrong whith sth,/ˈkrɪtɪsaɪz/
hold the record,when sb has set record,/ˌhəʊld ðə ˈrekɔːd/
medal,"a piece of metal given to an athlete who comes 1st, 2nd or 3rd",/ˈmedl/
one-sided,when one person or team is much better than the other,/ˌwʌn ˈsaɪdɪd/
opponent,a person whe plays against you in a sport or competition,/əˈpəʊnənt/
outsider,the person or team whe is expected to loose,/aʊtˈsaɪdə ͬ/
outstanding,"very good, clever, or skillfull SYN brilliant",/aʊtˈstændɪŋ/
overall,in total,/ˌəʊvərˈɔːl/
participate,join with other people in an activity SYN take part in sth,/pɑːˈtɪsɪpeɪt/
perform,the act of doing sth,/pəˈfɔːm/
performance,the way in which sb plays or does sth,/pəˈfɔːməns/
praise sb,say that sb is very good,/preɪz/
professional,a person who plays a sport for money as their job,/prəˈfeʃənl/
race,"a competition to see who is fastest or best, or who wins",/reɪs/
record,a best performance in sth,/ˈrekɔːd/
resist,to try to stop sth happening,/rɪˈzɪst/
resistance,the action of trying to stop sth happening or stop sb doing sth,/rɪˈzɪstəns/
semi-final,one of two games to decide who plays in the final,/ˌsemiˈfaɪnl/
shooting,the sport of firing rifle in target,/ˈʃuːtɪŋ/
take part in sth,join with other people in an activity SYN participate,/ˌteɪk ˈpɑːt ˌɪn/
take place,happen,/ˌteɪk ˈpleɪs/
weightlifting,the sport which involves lifting of heavy weights,/ˈweɪtlɪftɪŋ/
wrestling,​a sport in which two people fight and try to throw each other to the ground,/ˈreslɪŋ/
achievement,a thing that you have done successfully through hard work or skill,/əˈtʃiːvmənt/
