analysis,a careful study of sth in order to exlpain it,/əˈnæləsɪs/
approximately,about (SYN roughly),/əˈprɒksɪmətli/
carry out sth,do and complete a task,/ˌkæri ˈaʊt/
circle sth,go round sth in a circle (SYN revolve around sth),/ˈsɜːkl/
confirm sth,say or show that sth is true or definite,/kənˈfɜːm/
confirmation,a statement or proof that something is true,/ˌkɒnfəˈmeɪʃn/
discover,lear about or find something for the first time,/dɪˈskʌvə ͬ/
discovery,the process of finding information,/dɪˈskʌvəri/
earth,our planet,/ɜːθ/
exist,to be real,/ɪgˈzɪst/
experiment,a scientific test done in order to learn sth,/ɪkˈsperɪmənt/
exploration,the activity of searching and finding out about sth,/ˌekspləˈreɪʃn/
explore sth,travel round a place in order to learn about it,/ɪkˈsplɔː ͬ/
far-fetched,not easy to believe because it is very improbable,/ˌfɑː ˈfetʃt/
gain sth,"get more and more of sth useful, such as knowledge or experience",/geɪn/
in other words,used to say sth in a different way,/ˌɪn ˈʌðə ˌwɜːdz/
invent,create something that didn't exist before,/ɪnˈvent/
invention,something that has never been made before,/ɪnˈvenʃn/
knowledge,what you know and understand about sth,/ˈnɒlɪdʒ/
moon,the satellite of the Earth,/muːn/
planet,"an extremely large, round mass of rock and metal, such as Earth, or of gas, such as Jupiter, that moves in a circular path around the sun or another star",/ˈplænɪt/
reach sth,arrive at a place,/riːtʃ/
revolve around sth,go round sth in a circle (SYN circle sth),/rɪˈvɒlv/
rocket,a ​large cylinder-shaped ​object that ​moves very ​fast by ​forcing out ​burning ​gases,/ˈrɒkɪt/
roughly,about (SYN approximately),/ˈrʌfli/
satellite,an object that moves round a bigger object in space; a piece of electronic equipment that is sent into space and moves around,/ˈsætəlaɪt/
science,a particular subject which is studied by scientific methods,/ˈsaɪəns/
scientist,a person who studies the physical world,/ˈsaɪəntɪst/
solar system,the sun and the group of planets that move around it,/ˈsəʊlə ˌsɪstəm/
space,the area beyond the earth round the planets and stars,/speɪs/
star,a very large ball of burning gas in space,/stɑː ͬ/
sun,closest star to the Earth,/sʌn/
system,a set of ​connected things or ​devices that ​operate together,/ˈsɪstəm/
universe,"the whole of space and everything in it, including the planets and stars",/ˈjuːnɪvɜːs/
