achieve,to get something done which was difficult,/əˈtʃiːv/
award,a prize in a competition,/əˈwɔːd/
direct,to control or be in charge of an activity,"/dəˈrekt, dɪ-, daɪ-/"
director,the person who tells actors what to do in a film,"/dəˈrektə ͬ, dɪ-, daɪ-/"
disappointing,not as good as you had hoped,/ˌdɪsəˈpɔɪntɪŋ/
disgusting,very unpleasant,/dɪsˈgʌstɪŋ/
drama,exciting things that happen; an exciting event,/ˈdrɑːmə/
dramatic,very sudden or noticeable or full of action ,/drəˈmætɪk/
editing,the process of diciding which parts of a film to show and in which order,/ˈedɪtɪŋ/
entertaining,interesting and fun,/ˌentəˈteɪnɪŋ/
equivalent of sth,"sth that has the same value, amount, meaning, or importance as sth else",/ɪˈkwɪvələnt/
extraordinary,very unusual or much beter than usual SYN incredible,/ɪkˈstrɔːdnri/
fan,sb who really likes and is enthusiastic about a person or an activity,/fæn/
gripping,very exciting; holding your attention,/ˈgrɪpɪŋ/
incredible,very unusual or much better than usual SYN extraordinary,/ɪnˈkredəbl/
indeed,used to emphasize an adjective,/ɪnˈdiːd/
individual,one person who is seen separately from others or a group,/ˌɪndɪˈvɪdʒuəl/
leading role,the most important role in a film or play,/ˈliːdɪŋ ˌrəʊl/
movie,a film,/ˈmuːvi/
ordinary,usual and typical,/ˈɔːdnri/
outstanding,extremely good; excellent,/aʊtˈstændɪŋ/
performance,the act of playing a role in a film or play,/pəˈfɔːməns/
plot,"the series of events that form the story of a film, novel, etc",/plɒt/
produce,being responsible for business side of a film,/prəˈdjuːs/
role,the part an actor plays,/rəʊl/
suitable,right or appropriate for sth,/ˈsuːtəbl/
supporting role,the next most important role,/səˈpɔːtɪŋ ˌrəʊl/
swear,rude language that may upset people,/sweə ͬ/
swearing,the process of using rude language,/ˈsweərɪŋ/
unsuitable,not right or appropriate for sth,/ˌʌnˈsuːtəbl/
win,do the best in a competition,/wɪn/
winner,sb who won a competition,/ˈwɪnə ͬ/
achievement,sth you have done successfully that was difficult,/əˈtʃiːvmənt/
producer,the person who is responsible for the business side of a film,/prəˈdjuːsə ͬ/
