argument,,/ˈɑːgjumənt/
chance,,/tʃɑːns/
chat,,/tʃæt/
construct,,/kənˈstrʌkt/
construction,,/kənˈstrʌkʃn/
context,,/ˈkɒntekst/
conversation,,/ˌkɒnvəˈseɪʃn/
discuss,,/dɪˈskʌs/
discussion,,/dɪˈskʌʃn/
do revision,,/ˌduː rɪˈvɪʒn/
experiment,,/ɪkˈsperɪmənt/
explain,,/ekˈspleɪn/
explanation,,/ˌekspləˈneɪʃn/
foreign,,/ˈfɒrən/
foreigner,,/ˈfɒrənə ͬ/
formal,,/ˈfɔːml/
gist,,/dʒɪst/
go through,,/ˌgəʊ ˈθruː/
guess,,/ges/
have a chat,,/ˌhæv ə ˈtʃæt/
identify,,/aɪˈdentɪfaɪ/
informal,,/ɪnˈfɔːml/
keep a record of,,/ˌkiːp ə ˈrekɔːd əv/
make,,/meɪk/
make a note,,/ˌmeɪk ə ˈnəʊt/
make mistakes,,/ˌmeɪk mɪˈsteɪks/
method,,/ˈmeθəd/
mistake,,/mɪˈsteɪk/
note,,/nəʊt/
opportunity,,/ˌɒpəˈtjuːnəti/
pronounce,,/prəˈnaʊns/
pronunciation,,/prəˌnʌnsiˈeɪʃn/
recognition,,/ˌrekəgˈnɪʃn/
recognize,,/ˈrekəgnaɪz/
record,,/rɪˈkɔːd/
repeat,,/rɪˈpiːt/
repetition,,/ˌrepəˈtɪʃn/
revise,,/rɪˈvaɪz/
text,,/tekst/
translate,,/trænsˈleɪt/
translation,,/trænsˈleɪʃn/
work,,/wɜːk/
